time_s,power_W
514.28883521169,196064.133989606
514.38883521169,197864.130086924
514.48883521169,199664.408459629
514.58883521169,201464.971660969
514.68883521169,203265.82224421
514.78883521169,205066.962762606
514.88883521169,206868.395769415
514.98883521169,208670.123817892
515,208871.301361241
515.000507177524,149610.751748124
515.001014355048,149615.126750458
515.001521532572,149619.501754702
515.002028710096,149623.876763848
515.003375822003,149635.497219658
515.00472293391,149647.117700351
515.006070045817,149658.738204795
515.008728056519,149681.66690123
515.011386067221,149704.595691359
515.014044077922,149727.524575083
515.016702088624,149750.453552416
515.02226845564,149798.471383659
515.027834822655,149846.489625744
515.033401189671,149894.508278619
515.038967556686,149942.527342416
515.044533923702,149990.546817469
515.053530906028,150068.162110689
515.062527888353,150145.778478862
515.071524870679,150223.395922512
515.080521853004,150301.014442192
515.08951883533,150378.634038451
515.11843030603,150628.069041571
515.14734177673,150877.515185793
515.17625324743,151126.972489405
515.20516471813,151376.440970689
515.30516471813,152239.397676459
515.40516471813,153102.48908198
515.50516471813,153965.715943759
515.60516471813,154829.079018321
515.70516471813,155692.579062183
515.80516471813,156556.216831877
515.90516471813,157419.993083911
516,158239.286352846
516.000177384527,220893.97801619
516.000354769054,220897.177952131
516.000532153581,220900.377884544
516.001824420643,220923.689814385
516.003116687706,220947.001795917
516.004408954769,220970.31383005
516.006788220301,221013.23506421
516.009167485833,221056.156476486
516.011546751365,221099.078067495
516.013926016897,221141.999836597
516.019198956156,221237.123896038
516.024471895415,221332.248832289
516.029744834674,221427.374645826
516.035017773934,221522.501337024
516.040290713193,221617.628906258
516.048404457703,221764.008335729
516.056518202212,221910.38984637
516.064631946722,222056.773439697
516.072745691232,222203.159116927
516.080859435741,222349.546879472
516.106956583377,222820.404435709
516.133053731014,223291.283624702
516.15915087865,223762.184491765
516.185248026286,224233.10708234
516.285248026286,226037.807321653
516.385248026286,227842.829745794
516.485248026286,229648.176908014
516.585248026286,231453.851361573
516.685248026286,233259.855659717
516.785248026286,235066.192355715
516.885248026286,236872.864002819
516.985248026286,238679.873154287
517,238946.471390716
517.014751973714,239213.077035655
517.029503947428,239479.690097404
517.044255921143,239746.310584044
517.144255921143,241553.861651813
517.244255921143,243361.756837072
517.344255921143,245169.998693093
517.444255921143,246978.589773121
517.544255921143,248787.532630426
517.644255921143,250596.82981826
517.744255921143,252406.483889881
517.844255921143,254216.497398545
517.944255921143,256026.872897515
518,257036.208124662
518.055744078857,258045.657072438
518.111488157715,259055.22018311
518.167232236572,260064.897898953
518.267232236572,261876.459981052
518.367232236572,263688.394853114
518.467232236572,265500.705068411
518.567232236572,267313.393180196
518.667232236572,269126.461741725
518.767232236572,270939.913306257
518.867232236572,272753.750427051
518.967232236572,274567.975657353
519,275162.541543372
519.032767763428,275757.149465715
519.065535526856,276351.799514213
519.098303290284,276946.491778701
519.198303290284,278761.623584082
519.298303290284,280577.151952075
519.398303290284,282393.079435936
519.498303290284,284209.408588927
519.598303290284,286026.141964291
519.698303290284,287843.282115298
519.798303290284,289660.831595202
519.898303290284,291478.79295726
519.998303290284,293297.168754728
520,293328.0249041
520.000178517397,127386.713597653
520.000357034793,127387.19120677
520.00053555219,127387.668810088
520.000714069587,127388.1464195
520.001454147744,127390.126429279
520.002194225902,127392.106441908
520.002934304059,127394.086458509
520.004694773116,127398.796452859
520.006455242173,127403.506461981
520.008215711229,127408.216485767
520.009976180286,127412.926523313
520.01277976121,127420.427379144
520.015583342133,127427.928271333
520.018386923057,127435.429199955
520.021190503981,127442.930165012
520.023994084904,127450.431166505
520.02877338794,127463.218311164
520.033552690975,127476.005561688
520.038331994011,127488.792918126
520.043111297046,127501.580380377
520.047890600082,127514.367948786
520.055998287067,127536.061228836
520.064105974052,127557.754813753
520.072213661037,127579.448703793
520.080321348022,127601.142898744
520.088429035007,127622.83739892
520.112321047058,127686.769275848
520.136213059109,127750.703803916
520.160105071161,127814.640984378
520.183997083212,127878.580818544
520.283997083212,128146.229776833
520.383997083212,128413.925340591
520.483997083212,128681.667604369
520.583997083212,128949.456662716
520.683997083212,129217.292610219
520.783997083212,129485.175541422
520.883997083212,129753.105550904
520.983997083212,130021.082733233
521,130063.971283579
521.000663053202,41840.44947576
521.001326106403,41840.44947576
521.001989159605,41840.44947576
521.002652212807,41840.44947576
521.003315266009,41840.44947576
521.004657821233,41840.44947576
521.006000376458,41840.44947576
521.007342931683,41840.44947576
521.008685486908,41840.44947576
521.012177495854,41840.44947576
521.015669504799,41840.44947576
521.019161513745,41840.44947576
521.02265352269,41840.44947576
521.026145531636,41840.44947576
521.031902242608,41840.44947576
521.037658953581,41840.44947576
521.043415664553,41840.44947576
521.049172375525,41840.44947576
521.054929086498,41840.44947576
521.065686552414,41840.44947576
521.076444018331,41840.44947576
521.087201484247,41840.44947576
521.097958950164,41840.44947576
521.10871641608,41840.44947576
521.1659567407,41840.44947576
521.223197065321,41840.44947576
521.280437389941,41840.44947576
